Date,Archibald Park Cyclists,Beach Road Cyclists,Carlton Gore Cycle Counter Cyclists,Curran Street Total Cyclists,Dominion Road Total Cyclists,East Coast Road Cyclists,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Road Cyclists,Great North Rd Total,Great South Road Total Cyclists,HighBrook Cyclists,Hopetoun Street Cyclists,Karangahape Road Cyclists,Lagoon Drive Cyclists,Lake Road Total Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Matakana Cyclists,Nelson Street Cyclists,Nelson Street Lightpath Counter Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Waiheke Cyclists,Orewa Path Cyclists,Ormiston Rd Total Cyclists,Pukekohe - Queen St Cyclists,Quay St Spark Arena Total Cyclists,Quay St Totem UZELT Cyclists,Rankin Ave Cyclists,Saint Lukes Rd Total,SH20A path (sth of Kirkbride Rd),SW Shared Path Cyclists,Symonds St Total Cyclists,Tamaki Drive Total Cyclists,TeAtatu Peninsula Pathway Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Cyclists,Upper Harbour  Cyclists,Upper Queen Street Cyclists,Victoria Street West Total Cyclists,Waterview Unitec Counter Cyclists
Sun 9 Sep 2018,,224,106,278,123,98,39,228,257,30,151,67,19,50,260,170,299,465,10,35,219,276,511,629,121,280,51,6,769,592,25,157,23,167,154,972,138,555,181,285,65,80,235
Mon 10 Sep 2018,,295,267,184,375,72,13,675,390,99,255,74,46,193,551,133,291,250,9,0,528,444,979,599,104,188,64,12,809,761,20,209,32,157,451,1009,172,473,73,58,146,125,162
Tue 11 Sep 2018,,336,304,264,416,90,12,755,436,110,293,74,44,181,605,139,328,322,20,4,568,511,1074,700,71,190,64,6,905,951,27,248,39,181,474,1201,188,552,95,105,162,150,209
Wed 12 Sep 2018,,424,316,331,427,102,13,824,528,123,293,90,33,230,685,145,424,377,32,7,619,574,1256,845,105,195,48,14,1219,1120,30,232,38,211,529,1473,207,795,94,150,190,156,192
Thu 13 Sep 2018,,385,347,279,400,106,32,731,462,107,258,79,49,204,600,134,413,294,31,11,594,506,1096,694,114,192,59,10,1035,989,34,237,38,191,467,1293,198,626,72,128,148,141,189
Fri 14 Sep 2018,,295,295,241,373,86,15,700,401,121,292,94,48,163,541,115,359,254,39,8,517,461,908,605,102,217,59,13,933,968,27,188,27,154,416,1165,166,641,53,77,152,142,152
Sat 15 Sep 2018,,259,113,479,213,150,34,334,294,44,198,86,25,88,407,216,388,807,57,42,264,358,597,834,172,375,59,27,1441,1168,21,150,60,287,235,1776,156,956,174,397,107,119,311
Sun 16 Sep 2018,,283,103,398,165,114,36,293,311,50,171,89,19,70,316,182,387,688,23,28,200,241,566,817,75,516,84,13,1130,823,34,161,19,290,218,1354,145,715,203,366,74,109,318
Mon 17 Sep 2018,23,380,307,216,408,86,19,783,482,102,288,64,46,202,592,129,343,277,19,4,622,540,1189,674,100,261,50,13,997,929,27,217,33,199,524,1176,204,577,68,67,171,164,199
Tue 18 Sep 2018,2,298,283,264,309,74,8,681,349,95,266,64,44,173,520,152,332,213,19,4,443,359,868,476,62,179,34,7,781,773,20,166,25,132,436,1073,137,470,23,59,131,112,150
Wed 19 Sep 2018,28,296,314,211,386,93,18,771,357,95,226,93,33,190,538,141,367,265,26,0,523,438,938,563,80,165,28,7,876,849,23,174,29,159,472,1090,194,546,60,58,172,130,162
Thu 20 Sep 2018,44,389,379,362,433,118,13,822,498,101,294,83,59,200,618,146,414,356,29,7,625,521,1212,757,99,255,57,11,1229,1145,24,218,38,239,529,1480,206,799,90,171,187,165,241
Fri 21 Sep 2018,8,381,306,289,351,87,19,680,410,103,272,95,35,194,559,119,360,264,23,5,531,473,990,618,89,229,46,14,1033,1030,37,201,18,170,431,1241,176,646,71,92,175,160,170
Sat 22 Sep 2018,18,74,118,301,144,113,33,256,193,49,177,57,37,63,288,179,368,552,28,8,185,233,398,600,59,278,60,7,826,771,45,119,9,222,183,1176,96,618,123,267,107,75,217
Sun 23 Sep 2018,4,335,103,546,203,148,28,314,387,36,207,66,9,75,328,169,280,754,11,63,291,379,769,1037,126,624,44,19,1551,1176,38,177,15,318,164,1838,156,963,236,379,116,117,457
Mon 24 Sep 2018,7,398,304,181,402,79,17,755,404,110,249,88,33,195,551,132,311,243,9,6,538,510,1072,573,113,210,38,7,903,824,25,203,24,140,509,1116,195,471,41,55,182,127,163
Tue 25 Sep 2018,0,294,251,169,305,64,15,635,305,85,216,66,22,162,453,123,371,124,11,0,416,373,751,370,68,113,29,3,674,664,18,163,20,96,389,849,111,400,35,46,159,121,93
Wed 26 Sep 2018,4,335,264,187,370,64,24,670,382,110,228,83,39,160,486,135,334,216,11,9,497,455,921,501,68,178,53,8,780,762,20,163,21,131,445,1003,146,480,47,59,141,125,121
Thu 27 Sep 2018,7,423,346,289,414,105,18,837,473,126,308,99,42,199,610,125,360,305,39,2,545,483,1076,674,92,222,60,11,991,1026,23,202,28,238,545,1218,156,606,68,109,170,155,196
Fri 28 Sep 2018,10,369,308,296,384,72,26,761,421,128,297,113,51,194,554,125,339,323,31,9,537,494,936,617,136,244,43,8,1097,1059,19,212,29,210,490,1295,149,684,81,91,158,149,157
Sat 29 Sep 2018,25,184,91,430,161,123,20,285,318,66,210,83,49,86,305,199,410,705,29,69,268,356,672,887,142,398,69,20,1284,1060,31,178,16,241,209,1515,144,760,179,306,111,113,275
Sun 30 Sep 2018,13,288,94,455,129,115,35,310,342,41,180,87,24,61,315,166,288,608,28,36,255,325,619,972,171,446,39,16,1249,1038,39,160,18,219,169,1581,138,872,221,384,81,111,388
Mon 1 Oct 2018,19,352,309,210,366,74,13,681,406,102,244,76,50,217,524,118,252,240,18,26,572,577,1069,665,109,165,40,13,868,838,28,196,31,167,463,1078,158,558,137,78,145,139,195
Tue 2 Oct 2018,25,225,246,208,292,93,11,576,349,107,235,67,41,171,467,126,304,262,19,14,449,413,824,567,81,176,50,7,856,762,34,180,24,139,395,1035,144,528,121,105,160,134,170
Wed 3 Oct 2018,19,413,370,355,461,117,22,822,489,110,290,82,52,236,721,124,328,414,25,11,666,620,1269,792,163,364,41,16,1169,1217,40,257,72,224,548,1561,214,833,97,141,177,169,255
Thu 4 Oct 2018,26,394,350,326,414,80,9,762,473,111,292,95,57,248,626,129,301,373,29,21,595,517,1076,641,99,222,37,13,1002,1072,42,220,44,208,495,1389,180,734,100,138,209,152,215
Fri 5 Oct 2018,22,320,301,323,352,91,12,716,406,104,259,78,46,197,525,121,273,340,32,26,566,513,1077,703,130,288,55,10,1294,1170,26,247,37,190,485,1444,175,838,177,136,158,155,212
Sat 6 Oct 2018,20,82,154,432,170,179,42,365,312,49,208,93,36,88,409,203,397,660,42,46,279,361,657,910,205,398,67,5,1444,1346,36,179,27,260,215,1756,195,975,211,395,93,117,325
Sun 7 Oct 2018,33,273,96,372,161,147,30,308,330,35,178,68,13,72,313,186,330,556,7,50,308,352,630,868,133,435,43,10,1146,916,18,146,24,200,218,1348,160,697,231,378,85,93,337
Mon 8 Oct 2018,27,443,291,264,416,83,24,763,543,116,287,74,58,231,656,127,273,383,34,39,629,578,1261,790,144,275,77,16,1247,1076,27,262,52,222,525,1432,219,679,166,111,167,163,253
Tue 9 Oct 2018,8,459,324,337,443,118,36,828,567,119,299,76,78,241,659,153,299,390,38,20,640,638,1341,817,139,336,82,21,1331,1148,34,266,55,227,540,1599,183,720,110,189,195,161,256
Wed 10 Oct 2018,17,414,299,293,430,117,22,812,536,111,293,105,59,229,679,129,323,400,44,8,653,613,1268,845,165,226,58,13,1275,1165,33,241,40,218,575,1475,195,768,91,140,191,200,295
Thu 11 Oct 2018,6,297,248,262,364,72,12,612,392,87,230,90,47,196,498,128,324,241,23,9,463,394,869,522,132,158,66,7,896,822,31,189,34,120,432,1187,138,491,86,90,162,133,148
Fri 12 Oct 2018,2,211,160,112,183,43,4,368,193,88,152,72,26,154,328,102,268,135,14,9,268,235,451,258,79,28,66,5,559,497,21,89,24,70,284,663,77,315,36,19,140,122,55
Sat 13 Oct 2018,6,170,128,224,140,102,25,292,175,70,171,63,23,80,312,185,388,479,29,39,178,221,373,457,108,261,110,11,665,629,27,140,6,164,169,900,74,529,181,187,86,85,166
Sun 14 Oct 2018,10,261,100,410,174,160,26,281,367,38,200,76,22,51,343,164,325,758,13,60,249,321,630,857,150,392,72,12,1256,956,33,175,21,305,204,1435,153,775,228,466,91,83,325
Mon 15 Oct 2018,21,446,315,328,461,116,34,812,519,104,298,95,45,205,639,133,331,397,19,6,747,685,1418,863,132,274,89,10,1293,1099,44,273,47,219,572,1460,255,708,111,131,218,174,258
Tue 16 Oct 2018,13,446,347,347,444,129,27,841,594,119,329,90,66,197,728,161,373,364,12,14,707,657,1368,862,119,270,131,11,1445,1199,34,262,58,222,550,1526,226,680,97,186,194,171,206
Wed 17 Oct 2018,8,376,342,266,435,103,18,836,468,105,318,91,57,187,634,141,387,293,18,9,670,595,1252,695,103,215,156,8,1193,1050,17,244,38,205,558,1277,220,640,63,95,210,175,192
Thu 18 Oct 2018,14,417,305,302,405,96,13,714,455,123,321,87,38,172,615,134,395,272,23,12,591,515,1042,603,112,185,112,16,1070,1098,39,207,31,152,502,1207,215,705,39,110,180,154,150
Fri 19 Oct 2018,23,367,282,323,386,102,24,725,440,118,284,117,58,209,610,120,373,309,44,14,528,491,1065,751,162,268,110,11,1252,1205,27,231,37,199,526,1586,220,847,123,138,195,166,194
Sat 20 Oct 2018,14,234,105,398,144,150,24,318,305,42,201,77,40,63,344,199,409,588,31,80,234,376,638,761,212,441,124,10,1262,1016,26,165,18,211,200,1497,138,870,125,340,84,107,249
Sun 21 Oct 2018,9,240,109,351,131,105,39,289,269,37,174,74,27,56,301,178,315,535,31,121,229,293,583,741,247,623,128,8,1161,1013,30,147,19,222,170,1380,154,921,210,288,78,95,272
Mon 22 Oct 2018,29,274,103,452,170,125,47,306,355,35,203,61,21,58,295,135,306,757,37,57,318,436,730,930,209,711,86,13,1455,1103,28,156,33,272,189,1828,220,2226,255,295,91,110,388
Tue 23 Oct 2018,17,457,363,325,480,108,45,787,535,112,300,95,62,205,691,142,401,419,41,25,741,653,1369,911,178,322,125,15,1335,1195,26,290,62,248,516,1642,245,1991,94,155,187,183,224
Wed 24 Oct 2018,27,422,371,350,451,110,40,886,536,120,319,90,58,203,705,136,408,415,24,8,728,677,1356,860,166,320,136,13,1194,1237,40,280,52,270,541,1596,289,1650,99,162,177,214,261
Thu 25 Oct 2018,9,470,342,340,446,115,22,824,535,121,330,109,59,237,694,136,382,371,29,25,674,588,1324,884,149,274,126,16,1145,1210,42,267,50,233,558,1470,237,773,103,152,208,206,212
Fri 26 Oct 2018,29,753,286,278,443,94,31,716,739,99,312,81,55,238,579,127,363,314,28,18,1004,836,1149,681,131,261,230,16,1016,1623,40,229,36,209,506,1355,190,1905,98,114,198,196,233
Sat 27 Oct 2018,16,189,134,316,166,147,32,329,261,75,213,71,45,71,318,177,403,539,51,22,181,254,568,808,155,241,129,19,941,763,23,169,32,193,204,1274,143,1275,363,282,103,106,224
Sun 28 Oct 2018,23,255,122,313,145,96,24,309,252,58,198,70,23,85,326,161,336,492,19,26,229,272,641,689,118,431,74,11,710,604,36,179,12,187,166,897,151,639,227,235,95,159,291
Mon 29 Oct 2018,7,231,194,169,293,60,10,527,283,77,222,61,46,187,435,105,319,178,16,4,474,391,804,495,106,150,161,14,779,708,41,145,22,109,380,928,141,451,56,48,163,114,113
Tue 30 Oct 2018,1,307,227,166,273,68,9,532,288,96,212,78,32,195,424,125,353,169,22,4,397,335,708,398,77,152,177,3,709,659,35,117,34,117,340,859,132,393,34,60,138,122,98
Wed 31 Oct 2018,13,409,350,334,484,157,28,848,548,95,347,96,59,251,752,157,431,435,22,15,718,639,1464,969,161,297,198,17,1425,1320,39,289,60,312,585,1773,261,815,76,180,194,174,248
Thu 1 Nov 2018,4,307,255,143,283,74,14,559,278,106,243,89,49,163,450,34,361,172,18,13,430,401,774,398,114,135,186,14,764,767,24,144,36,154,355,935,107,466,30,52,197,119,92
Fri 2 Nov 2018,14,339,304,318,386,138,18,772,473,93,301,105,55,199,619,267,343,339,45,12,651,622,1179,766,166,242,166,17,1215,1132,30,234,41,197,448,1497,199,830,95,158,223,194,186
Sat 3 Nov 2018,1,98,102,312,126,136,24,324,237,62,185,77,22,82,345,283,386,506,25,29,166,212,558,572,149,192,91,5,880,688,26,130,29,204,208,1055,125,530,103,293,96,107,180
Sun 4 Nov 2018,35,223,132,287,156,123,27,298,294,39,159,58,19,61,305,299,334,418,29,31,269,353,637,729,125,313,90,8,910,696,34,168,13,225,173,1131,150,644,137,284,100,71,262
Mon 5 Nov 2018,16,447,338,236,432,102,16,805,482,103,284,79,59,229,570,249,335,290,37,13,649,616,1276,715,212,205,178,18,1092,975,33,246,55,204,515,1318,242,640,102,112,192,165,207
Tue 6 Nov 2018,7,483,400,334,447,126,20,872,545,139,336,96,70,262,703,304,378,501,30,10,718,658,1441,924,153,295,197,11,1370,1164,47,272,72,249,553,1742,215,702,131,219,216,158,239
Wed 7 Nov 2018,8,508,366,382,503,138,31,891,588,136,291,87,75,257,725,434,399,389,24,11,720,688,1475,948,178,294,157,22,1423,1305,33,285,50,258,577,1744,256,862,132,182,201,180,277
Thu 8 Nov 2018,8,377,317,293,408,102,17,701,430,103,308,75,48,215,599,255,388,325,28,13,548,487,1028,653,147,221,116,8,1035,960,42,203,39,208,442,1316,186,572,75,130,212,121,170
Fri 9 Nov 2018,22,371,266,277,382,104,17,711,420,107,320,104,48,214,594,294,346,307,23,15,576,488,1073,660,136,271,182,14,974,997,41,238,38,187,484,1289,202,622,89,148,207,144,148
Sat 10 Nov 2018,29,160,105,383,150,192,18,368,425,49,203,79,56,111,281,362,438,633,49,51,337,385,745,877,318,369,221,9,1257,1275,26,199,47,213,267,1592,160,898,218,365,93,153,231
Sun 11 Nov 2018,16,312,103,369,164,125,21,329,346,49,172,67,25,73,324,347,325,613,14,31,248,269,637,845,149,484,130,12,1010,878,22,168,12,270,183,1222,112,813,170,346,123,97,292
Mon 12 Nov 2018,11,407,105,284,423,96,24,749,483,93,285,65,53,228,644,301,287,409,46,6,671,690,1273,795,189,387,194,11,1260,1146,51,238,35,229,482,1398,228,957,172,104,193,164,215
Tue 13 Nov 2018,25,557,351,396,529,146,26,939,614,121,326,87,55,283,783,345,388,451,45,16,902,774,1520,981,160,325,104,16,1596,1401,67,279,53,303,544,1916,239,1114,127,261,245,160,266
Wed 14 Nov 2018,16,483,378,363,481,123,25,887,539,122,377,112,67,256,730,432,408,370,32,13,883,691,1464,937,197,290,98,18,1471,1420,29,271,60,237,525,1727,235,1231,91,152,225,174,230
Thu 15 Nov 2018,12,440,323,367,463,132,28,849,531,102,329,79,59,287,706,313,392,428,40,6,877,720,1407,941,182,298,76,19,1402,1295,42,256,43,249,559,1764,242,1247,113,179,272,166,241
Fri 16 Nov 2018,13,352,298,342,437,117,32,765,422,108,321,104,37,228,639,264,324,347,20,8,732,576,1224,769,198,249,65,21,1290,1316,39,239,30,235,437,1617,205,927,111,157,211,191,224
Sat 17 Nov 2018,38,177,117,395,169,165,29,325,346,56,213,77,45,81,341,458,416,776,34,53,345,389,747,996,261,332,57,11,1335,1098,42,141,21,240,216,1716,161,978,180,375,128,114,267
Sun 18 Nov 2018,8,239,126,413,161,130,42,340,313,31,220,75,44,79,342,373,310,691,25,76,275,296,689,1013,185,449,70,15,1260,984,44,220,33,295,193,1435,149,878,223,410,135,82,281
Mon 19 Nov 2018,8,408,197,247,408,120,13,710,471,82,279,79,40,235,613,271,320,289,24,7,769,656,1198,721,165,255,46,12,1187,1003,34,231,44,193,460,1181,213,673,98,103,202,143,190
Tue 20 Nov 2018,22,348,346,245,320,100,12,651,319,84,243,103,46,197,505,237,370,211,37,5,553,423,795,513,124,232,53,13,1019,870,31,158,36,132,338,1148,164,732,73,116,181,139,178
Wed 21 Nov 2018,26,317,384,156,274,84,9,546,299,84,252,112,38,195,455,257,380,190,24,3,524,417,797,446,79,160,45,12,821,799,35,139,30,126,305,948,130,592,46,53,164,139,101
Thu 22 Nov 2018,6,358,323,230,358,102,19,659,364,97,291,85,48,223,580,235,366,274,33,13,616,528,958,597,171,223,49,15,1037,971,46,209,30,168,403,1177,166,728,107,111,203,153,165
Fri 23 Nov 2018,21,374,301,327,381,124,18,675,451,81,326,104,49,242,573,330,340,340,34,5,745,626,1159,721,208,310,78,16,1330,1227,40,250,32,246,435,1482,235,1116,93,121,232,193,201
Sat 24 Nov 2018,15,62,122,44,82,40,4,100,46,35,100,46,9,56,141,92,378,124,46,2,80,77,107,103,79,294,35,11,216,249,14,45,4,34,69,372,26,322,49,27,72,61,33
Sun 25 Nov 2018,9,92,123,118,69,37,18,104,101,28,106,49,0,71,147,151,304,183,17,14,101,117,244,292,68,433,45,15,399,373,26,69,9,106,96,539,76,318,85,132,64,58,94
Mon 26 Nov 2018,17,411,221,306,438,117,14,717,498,87,279,89,53,235,611,271,331,306,36,15,791,641,1291,751,178,263,57,11,1228,985,50,260,36,199,424,1306,203,697,118,139,237,185,203
Tue 27 Nov 2018,17,387,349,280,400,113,25,780,464,92,352,94,46,228,587,285,372,345,34,10,715,580,1152,643,163,265,69,16,1047,1043,30,216,38,215,433,1290,213,662,59,131,224,164,181
Wed 28 Nov 2018,17,468,384,355,486,127,27,827,508,112,363,103,61,239,663,436,402,357,24,21,898,721,1438,818,185,272,46,12,1405,1227,39,292,58,234,447,1626,228,861,101,172,273,185,232
Thu 29 Nov 2018,42,460,320,378,452,115,17,713,507,98,353,103,55,301,650,348,404,312,31,37,838,611,1288,808,157,232,69,13,1361,1021,37,253,48,259,442,1648,225,839,145,170,237,181,219
Fri 30 Nov 2018,12,312,305,293,310,95,13,746,416,95,324,112,39,195,332,195,318,346,33,17,648,482,1041,517,155,285,63,15,825,1187,28,225,26,139,347,991,132,644,39,61,235,160,150
Sat 1 Dec 2018,0,73,118,75,88,39,9,293,84,40,115,57,18,76,293,137,411,533,42,6,170,525,276,133,87,302,43,8,261,364,23,66,15,73,126,399,38,197,34,26,121,68,94
Sun 2 Dec 2018,17,302,127,382,199,116,22,284,371,42,200,69,22,83,294,342,326,485,14,26,348,350,859,910,171,432,41,9,1151,1220,38,194,16,284,193,1497,174,806,145,321,120,142,318
Mon 3 Dec 2018,2,280,226,158,291,79,10,757,310,107,252,88,29,192,632,179,323,325,35,4,601,469,857,443,91,280,47,10,658,726,23,152,23,103,280,739,121,393,32,41,191,115,118
Tue 4 Dec 2018,12,319,374,203,302,101,22,831,348,81,348,107,42,179,661,235,384,389,35,5,603,495,1033,598,101,290,58,10,829,1108,34,192,37,165,321,978,144,654,117,122,220,127,147
Wed 5 Dec 2018,18,457,340,272,466,109,21,776,518,104,369,101,51,237,614,403,402,340,22,8,827,722,1397,773,75,265,57,15,1130,1411,23,247,38,226,441,1319,234,1008,81,123,286,154,246
Thu 6 Dec 2018,8,318,269,168,310,97,8,541,333,88,335,86,34,178,442,244,395,349,31,3,588,434,893,431,142,252,55,6,775,1059,43,163,24,144,326,937,138,534,49,52,239,137,120
Fri 7 Dec 2018,22,363,323,337,394,148,15,710,408,90,384,109,48,196,577,331,341,353,33,26,769,602,1193,739,198,291,61,20,1216,1795,33,222,41,237,399,1485,211,780,101,130,271,158,237
Sat 8 Dec 2018,19,115,143,272,173,152,38,323,301,46,224,90,30,74,344,270,411,530,42,21,352,380,750,691,221,341,42,11,1068,1068,43,209,33,253,170,1365,195,746,213,264,150,90,235
Sun 9 Dec 2018,16,76,77,330,159,126,31,246,319,33,217,55,28,55,265,323,321,501,14,30,361,380,711,703,197,461,64,6,1058,1072,34,182,39,192,167,1265,118,766,257,344,128,121,253
Mon 10 Dec 2018,11,452,335,272,490,105,19,745,543,104,361,84,47,213,621,299,316,340,35,11,893,760,1474,785,154,309,67,9,1251,1465,45,273,40,216,441,1384,210,792,114,126,288,167,215
Tue 11 Dec 2018,16,453,354,337,498,153,24,839,563,105,372,112,55,262,691,341,382,365,34,12,949,783,1564,875,177,284,49,27,1345,1739,48,299,49,245,452,1634,217,903,106,181,316,202,237
Wed 12 Dec 2018,8,442,314,323,464,116,21,770,495,94,357,102,58,264,620,314,402,326,24,25,865,736,1381,783,136,267,63,19,1224,1779,50,262,39,225,400,1453,197,793,91,112,258,169,185
Thu 13 Dec 2018,16,412,353,374,488,132,16,792,509,106,382,92,58,223,689,314,410,353,31,25,838,734,1350,810,147,213,64,13,1562,1867,32,264,32,224,407,1518,190,815,123,130,275,172,218
Fri 14 Dec 2018,12,298,265,306,345,114,18,633,391,95,371,100,50,204,530,273,376,360,33,22,642,538,1041,588,157,135,65,15,1200,1552,29,211,31,178,379,1233,165,725,55,143,203,154,172
Sat 15 Dec 2018,19,58,96,316,174,110,19,293,260,41,212,78,35,72,378,288,389,502,42,14,289,331,625,627,234,277,53,20,1044,1013,41,153,27,197,197,1216,120,775,129,255,132,112,207
Sun 16 Dec 2018,6,116,99,431,179,191,39,294,312,37,183,79,29,94,312,376,479,484,14,54,280,332,773,903,198,320,39,12,1435,1121,33,174,23,229,168,1577,130,854,157,384,88,99,251
Mon 17 Dec 2018,9,451,345,414,409,123,24,793,526,117,346,107,63,260,624,359,336,328,37,20,894,771,1471,870,233,292,60,15,1626,1071,52,280,41,208,415,1626,236,762,123,138,259,168,219
Tue 18 Dec 2018,16,416,381,434,460,164,25,877,570,110,392,106,66,261,704,375,402,341,34,32,977,789,1572,907,184,238,75,20,1763,1215,44,287,44,259,444,1803,222,845,177,244,292,180,235
Wed 19 Dec 2018,23,414,315,341,416,123,17,742,515,104,381,95,76,227,628,329,410,322,23,27,845,710,1326,842,210,256,63,19,1408,1329,51,252,45,217,400,1385,185,790,169,140,279,172,220
Thu 20 Dec 2018,40,313,242,208,311,84,4,513,325,75,339,75,51,222,419,224,216,338,31,14,549,428,863,490,111,106,77,16,948,1252,37,181,23,120,255,900,120,451,60,69,221,127,122
Fri 21 Dec 2018,21,318,208,280,281,84,16,500,302,69,352,95,49,168,441,221,318,357,33,12,508,437,880,526,156,176,59,9,1132,1627,35,170,26,134,269,1073,104,709,53,106,215,145,130
Sat 22 Dec 2018,17,160,82,291,128,135,44,260,228,59,167,84,25,76,344,387,392,439,42,21,255,292,642,677,156,323,61,17,1107,1079,27,173,36,189,155,1233,71,595,158,322,131,107,234
Sun 23 Dec 2018,2,173,48,282,108,81,20,172,189,27,148,94,22,39,197,261,211,428,14,18,218,213,425,641,119,174,44,10,718,634,21,106,19,158,107,821,108,363,113,213,83,62,111
Mon 24 Dec 2018,0,51,37,35,62,23,4,88,34,31,152,63,32,41,79,109,82,332,36,28,66,54,104,90,49,33,49,8,218,167,12,30,5,24,52,261,24,85,9,15,64,40,25
Tue 25 Dec 2018,6,54,26,120,30,28,8,67,74,11,70,31,8,16,64,66,130,368,34,8,41,50,114,124,49,116,17,3,419,331,9,27,12,43,46,541,19,181,23,33,25,25,60
Wed 26 Dec 2018,33,164,62,185,98,101,19,164,176,20,114,50,19,33,194,178,267,343,23,75,169,215,362,415,196,326,37,7,819,873,33,83,13,145,100,836,92,516,231,215,68,79,166
Thu 27 Dec 2018,30,228,110,274,148,123,30,289,241,43,193,83,11,70,288,328,392,346,31,79,322,393,661,732,190,268,38,19,1772,1229,37,154,38,216,164,1332,173,813,219,241,111,109,234
Fri 28 Dec 2018,19,231,85,290,162,97,15,289,230,31,246,79,18,73,267,293,335,357,33,95,344,396,713,704,302,45,41,25,1294,1257,23,148,26,193,201,1331,157,780,237,193,134,90,223
Sat 29 Dec 2018,23,209,64,282,167,137,21,232,260,23,157,73,20,55,257,321,356,507,42,104,226,286,530,725,321,35,50,12,1200,1231,32,122,34,196,142,1301,120,737,223,265,87,80,227
Sun 30 Dec 2018,30,262,68,285,159,118,26,220,300,13,191,75,26,49,253,326,386,489,14,55,278,379,549,628,305,111,39,14,1377,1394,32,127,25,183,126,1471,120,775,303,256,101,64,269
Mon 31 Dec 2018,26,260,90,194,160,104,15,245,266,21,152,70,14,49,229,281,259,333,36,96,242,285,502,516,265,488,43,15,933,1292,28,94,30,181,161,997,80,795,214,180,111,42,209
,1698,115011,82532,105325,112206,35279,7343,198657,137844,28178,89095,30457,14653,59323,177635,61673,125154,134360,9888,7738,171848,172081,319761,238300,48740,96110,21475,3907,395830,342336,9634,68954,4087,66498,132282,454885,29466,254055,42812,56570,54722,45670,73606
