Date,Archibald Park Cyclists,Beach Road Cyclists,Carlton Gore Cycle Counter Cyclists,Curran Street Total Cyclists,Dominion Road Total Cyclists,East Coast Road Cyclists,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Road Cyclists,Great North Rd Total,Great South Road Total Cyclists,HighBrook Cyclists,Hopetoun Street Cyclists,Karangahape Road Cyclists,Lagoon Drive Cyclists,Lake Road Total Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Matakana Cyclists,Nelson Street Cyclists,Nelson Street Lightpath Counter Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Waiheke Cyclists,Orewa Path Cyclists,Ormiston Rd Total Cyclists,Pukekohe - Queen St Cyclists,Quay St Spark Arena Total Cyclists,Quay St Totem UZELT Cyclists,Rankin Ave Cyclists,Saint Lukes Rd Total,SH20A path (sth of Kirkbride Rd),SW Shared Path Cyclists,Symonds St Total Cyclists,Tamaki Drive Total Cyclists,TeAtatu Peninsula Pathway Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Cyclists,Upper Harbour  Cyclists,Upper Queen Street Cyclists,Victoria Street West Total Cyclists,Waterview Unitec Counter Cyclists
Wed 14 Feb 2018,,286,305,346,391,111,16,663,447,104,305,94,40,266,621,190,466,380,30,12,639,736,1185,685,154,283,45,7,1315,1169,26,242,,176,472,1445,,799,143,137,198,131,183
Thu 15 Feb 2018,,438,382,436,435,142,17,797,613,109,358,97,76,236,765,190,538,516,40,9,698,765,1424,913,209,314,67,11,1653,1475,34,295,,249,543,1703,,1105,104,192,222,142,204
Fri 16 Feb 2018,,445,291,376,419,99,15,674,525,93,358,90,64,213,669,192,504,419,66,9,663,667,1262,754,225,267,67,11,1657,1376,38,243,,205,431,1744,,920,118,171,181,135,207
Sat 17 Feb 2018,,213,103,413,181,154,26,301,297,31,274,72,37,89,444,229,396,652,57,34,231,374,625,904,197,329,45,13,1373,1055,51,239,,210,226,1519,,826,171,346,111,86,337
Sun 18 Feb 2018,,288,94,635,179,135,23,335,352,38,229,73,22,71,374,178,400,729,38,26,329,488,661,1037,170,575,66,33,1454,1407,24,176,,228,187,1637,,1113,212,405,83,123,364
Mon 19 Feb 2018,,472,358,309,442,107,14,788,570,96,320,108,69,253,750,159,421,380,29,16,722,735,1317,795,168,295,61,10,1443,1154,34,265,,185,487,1490,,730,207,101,187,155,153
Tue 20 Feb 2018,,394,327,297,434,95,19,714,407,100,310,83,40,270,693,133,452,261,34,6,586,618,1020,569,144,257,59,10,1262,1067,27,215,,134,445,1442,,634,124,86,175,155,131
Wed 21 Feb 2018,,417,362,355,497,127,16,771,592,104,349,96,57,265,723,156,516,357,35,19,661,676,1283,739,228,282,52,10,1438,1289,34,247,,208,547,1572,,807,137,155,213,160,170
Thu 22 Feb 2018,,380,337,346,421,113,17,747,515,110,332,80,53,282,674,171,397,300,38,8,631,590,1093,684,195,281,64,10,1396,1154,28,252,,178,473,1524,,818,95,89,171,192,166
Fri 23 Feb 2018,,405,295,389,385,110,15,747,483,92,296,84,61,225,657,153,470,357,32,8,624,589,1140,745,148,283,64,12,1538,1269,25,221,,193,474,1597,,882,185,170,171,149,218
Sat 24 Feb 2018,,265,124,416,186,154,26,350,344,42,201,87,38,98,414,221,413,737,36,52,342,515,753,958,229,495,72,11,1524,1235,41,179,,262,209,1755,,1058,418,334,103,83,500
Sun 25 Feb 2018,,257,116,507,165,119,23,343,325,36,214,83,21,81,370,224,378,807,33,26,321,533,735,1008,210,556,56,12,1784,1339,27,172,,272,160,2053,,1156,482,482,87,69,425
Mon 26 Feb 2018,,502,396,338,492,108,14,903,630,109,339,95,56,259,716,177,447,394,34,4,758,729,1448,875,168,321,59,11,1619,1306,52,281,,207,679,1701,,979,141,115,225,173,211
Tue 27 Feb 2018,,456,392,345,466,149,19,923,612,138,392,91,53,260,811,156,524,420,18,11,744,703,1510,963,180,324,52,12,1519,1311,34,294,,220,622,1633,,865,165,189,212,196,283
Wed 28 Feb 2018,,403,370,335,437,80,16,863,556,135,342,101,42,294,734,154,496,404,16,4,702,827,1385,764,168,175,56,11,1290,1327,33,284,,169,591,1305,,1040,86,83,211,157,267
Thu 1 Mar 2018,,363,361,327,448,122,17,822,525,123,348,97,49,277,724,144,483,386,44,12,671,736,1284,745,164,98,52,5,1293,1183,34,259,,197,539,1358,,908,99,113,209,192,259
Fri 2 Mar 2018,,337,286,260,342,87,15,660,397,131,283,110,35,257,577,126,440,274,56,10,520,541,1021,543,143,174,50,10,1071,1025,34,210,,118,355,1148,,798,143,105,175,130,174
Sat 3 Mar 2018,,244,146,347,186,104,26,353,280,51,204,91,38,90,369,209,346,696,41,42,290,408,761,731,195,308,47,10,1160,1066,44,253,,262,214,1337,,1056,186,296,103,126,302
Sun 4 Mar 2018,,295,141,333,196,124,23,369,285,38,198,79,28,74,417,203,340,659,24,36,301,543,735,933,176,449,58,11,814,967,34,243,,276,182,1011,,1049,256,340,98,99,445
Mon 5 Mar 2018,,436,390,410,502,99,14,938,621,135,386,89,49,285,817,164,437,436,38,19,841,772,1522,928,207,325,60,6,1781,1484,50,314,,207,652,1867,,1096,167,129,204,207,239
Tue 6 Mar 2018,,433,434,424,520,134,19,1018,661,141,400,116,64,296,852,177,515,524,31,2,783,725,1533,982,204,290,66,19,1857,1468,37,342,,225,671,1976,,1040,174,211,225,185,219
Wed 7 Mar 2018,,444,353,289,488,95,16,814,499,102,368,106,48,243,728,164,437,314,29,4,722,668,1158,694,155,238,47,11,1395,1269,25,233,,149,586,1371,,891,122,102,207,176,194
Thu 8 Mar 2018,,429,333,320,434,92,17,796,512,149,331,114,43,255,648,134,389,323,27,3,619,547,1136,640,133,165,64,10,1423,1214,54,234,,156,549,1544,,884,87,88,196,160,174
Fri 9 Mar 2018,,448,302,410,447,106,15,815,531,117,298,117,59,245,719,171,428,314,45,12,672,563,1235,735,175,278,34,11,1540,1521,36,259,,183,564,1673,,1203,161,181,208,156,191
Sat 10 Mar 2018,,286,157,522,222,161,26,352,321,57,261,79,36,106,413,217,470,732,64,57,360,492,654,726,213,372,19,13,1574,1544,40,207,,191,237,1763,,1395,258,335,106,104,322
Sun 11 Mar 2018,,294,103,469,196,138,23,299,362,31,221,88,40,73,356,220,398,642,21,34,288,447,713,1132,170,530,20,16,1522,1343,21,198,,207,203,1638,,1231,265,471,92,117,372
Mon 12 Mar 2018,,248,198,128,309,42,14,507,314,110,226,83,23,171,389,108,298,183,17,1,433,338,758,376,71,83,32,7,784,689,18,148,,75,382,880,,483,40,29,125,182,67
Tue 13 Mar 2018,,412,342,271,464,113,19,768,528,113,298,109,53,215,675,139,488,272,28,9,641,606,1174,699,152,253,35,13,1162,1106,42,219,,181,601,1232,,774,171,122,193,161,165
Wed 14 Mar 2018,,415,377,391,460,89,16,821,567,118,315,116,55,243,719,208,528,381,28,7,704,637,1280,774,180,290,25,11,1485,1248,45,243,,171,618,1545,,979,139,140,209,147,176
Thu 15 Mar 2018,,487,398,416,484,113,17,933,592,117,380,117,56,266,791,144,541,316,36,13,724,716,1320,852,158,272,26,14,1519,1366,46,277,,169,626,1640,,1037,141,123,240,192,197
Fri 16 Mar 2018,,413,298,356,431,95,15,770,517,123,299,107,61,233,677,194,469,279,22,4,673,665,1206,724,150,249,32,20,1343,1350,47,248,,181,565,1416,,1081,142,126,222,172,206
Sat 17 Mar 2018,,231,116,316,186,134,26,334,298,46,219,100,36,99,423,232,331,617,39,26,241,336,557,793,158,297,23,13,1097,1106,27,172,,223,219,1323,,980,228,265,100,122,320
Sun 18 Mar 2018,,246,89,540,175,118,23,264,316,33,191,73,22,89,346,177,447,725,21,47,316,434,652,970,209,429,23,5,1479,1360,33,192,,261,193,1651,,1133,219,303,79,95,431
Mon 19 Mar 2018,,467,358,319,470,87,14,846,567,110,323,81,55,235,748,153,402,318,24,1,701,696,1423,811,184,271,34,12,1387,1107,35,283,,191,615,1422,,775,113,78,222,161,200
Tue 20 Mar 2018,,414,352,324,415,100,19,806,517,90,314,100,56,219,705,154,426,324,23,11,628,607,1227,789,157,234,25,14,1288,1035,31,229,,166,580,1423,,677,100,117,200,162,226
Wed 21 Mar 2018,,491,395,371,494,110,23,953,577,97,331,106,55,247,833,187,526,345,27,7,731,728,1408,810,174,328,42,15,1477,1268,32,290,,226,667,1580,,879,141,115,239,151,208
Thu 22 Mar 2018,,496,370,382,474,119,23,880,569,117,422,107,46,273,765,192,563,370,22,3,695,661,1349,785,190,251,36,9,1495,1294,39,291,,205,639,1674,,934,162,149,188,162,195
Fri 23 Mar 2018,,364,252,311,338,87,15,600,424,107,252,114,40,192,492,129,381,232,25,10,482,429,968,541,173,157,24,8,1052,937,35,205,,121,485,1168,,643,72,61,174,144,158
Sat 24 Mar 2018,,117,77,139,106,60,21,146,118,33,122,76,3,80,193,116,211,246,10,14,117,167,233,216,105,146,15,8,512,449,27,132,,103,122,695,,310,46,75,81,51,95
Sun 25 Mar 2018,,292,109,567,177,102,28,310,362,31,249,78,22,79,350,196,399,728,15,34,297,439,691,1009,148,408,21,9,1353,1202,31,200,,265,173,1525,,956,261,369,97,82,466
Mon 26 Mar 2018,,480,378,336,450,88,24,940,625,98,345,95,59,251,742,165,420,364,33,7,689,716,1374,806,173,284,37,2,1496,1149,38,249,,213,638,1552,,770,144,106,206,177,179
Tue 27 Mar 2018,,508,378,395,518,139,23,974,622,118,366,113,67,261,743,169,592,415,20,9,706,704,1442,899,190,270,28,15,1681,1260,42,311,,224,646,1841,,775,134,187,224,158,202
Wed 28 Mar 2018,,499,343,351,497,98,26,844,607,114,362,100,52,284,814,151,544,374,30,8,699,627,1355,789,177,234,29,13,1395,1192,33,271,,221,605,1443,,791,86,142,208,169,170
Thu 29 Mar 2018,,433,338,357,451,87,20,863,532,128,358,107,49,243,727,158,501,345,39,7,624,580,1178,668,173,257,40,13,1438,1239,38,244,,197,630,1500,,855,96,104,218,138,156
Fri 30 Mar 2018,,177,79,263,102,108,23,224,199,25,161,56,19,56,249,148,340,421,33,46,221,374,398,597,168,451,14,10,971,772,25,106,,139,123,1206,,677,244,268,58,69,281
Sat 31 Mar 2018,,235,80,273,147,91,13,264,255,21,156,72,20,57,338,209,323,630,27,151,221,352,511,638,273,351,23,9,1087,894,26,144,,180,160,1235,,739,153,242,67,95,235
Sun 1 Apr 2018,,253,68,343,139,104,18,232,309,26,124,61,26,48,253,152,351,587,34,70,261,395,486,769,279,584,28,11,1142,967,22,181,,199,153,1354,,924,233,317,63,63,321
Mon 2 Apr 2018,,240,84,389,156,112,18,276,338,28,161,63,21,66,307,162,362,714,23,82,307,572,600,789,216,695,55,15,1180,990,18,188,,196,165,1455,,939,279,293,84,97,424
Tue 3 Apr 2018,,445,309,366,477,113,29,638,473,63,326,82,49,236,645,158,447,422,21,19,725,760,1226,793,174,319,72,12,1381,1195,38,287,,234,457,1398,,783,242,131,192,168,263
Wed 4 Apr 2018,,524,364,358,505,120,27,826,600,87,331,107,68,228,701,151,526,396,31,6,761,728,1368,858,159,333,68,8,1507,1262,25,280,,206,538,1511,,769,97,109,211,170,204
Thu 5 Apr 2018,,496,384,396,485,113,29,762,529,112,352,100,54,266,736,202,517,354,33,8,781,720,1329,859,168,298,66,9,1540,1300,39,299,,214,536,1599,,822,90,148,226,149,199
