Station,Date(NZST),Time(NZST),Amount(mm),Period(Hrs),Freq
22719,20170110,0700,0.0,1,H
37852,20170110,0700,0.0,1,H
22719,20170110,0800,0.0,1,H
37852,20170110,0800,0.0,1,H
22719,20170110,0900,0.0,1,H
37852,20170110,0900,0.0,1,H
22719,20170110,1000,0.0,1,H
37852,20170110,1000,0.0,1,H
22719,20170110,1100,0.0,1,H
37852,20170110,1100,0.0,1,H
22719,20170110,1200,0.0,1,H
37852,20170110,1200,0.0,1,H
22719,20170110,1300,0.0,1,H
37852,20170110,1300,0.0,1,H
22719,20170110,1400,0.0,1,H
37852,20170110,1400,0.0,1,H
22719,20170110,1500,0.0,1,H
37852,20170110,1500,0.0,1,H
22719,20170110,1600,0.0,1,H
37852,20170110,1600,0.0,1,H
22719,20170110,1700,0.0,1,H
37852,20170110,1700,0.0,1,H
22719,20170110,1800,0.0,1,H
37852,20170110,1800,0.0,1,H
22719,20170110,1900,0.0,1,H
37852,20170110,1900,0.0,1,H
22719,20170110,2000,0.0,1,H
37852,20170110,2000,0.1,1,H
22719,20170110,2100,0.0,1,H
37852,20170110,2100,0.0,1,H
22719,20170110,2200,0.0,1,H
37852,20170110,2200,0.0,1,H
22719,20170110,2300,0.0,1,H
37852,20170110,2300,0.0,1,H
22719,20170111,0000,0.0,1,H
37852,20170111,0000,0.2,1,H
22719,20170111,0100,0.0,1,H
37852,20170111,0100,0.1,1,H
22719,20170111,0200,0.0,1,H
37852,20170111,0200,0.0,1,H
22719,20170111,0300,0.0,1,H
37852,20170111,0300,0.0,1,H
22719,20170111,0400,0.0,1,H
37852,20170111,0400,0.0,1,H
22719,20170111,0500,0.0,1,H
37852,20170111,0500,0.0,1,H
22719,20170111,0600,0.0,1,H
37852,20170111,0600,0.0,1,H
22719,20170111,0700,0.0,1,H
37852,20170111,0700,0.0,1,H
22719,20170111,0800,0.0,1,H
37852,20170111,0800,0.0,1,H
22719,20170111,0900,0.0,1,H
37852,20170111,0900,0.0,1,H
22719,20170111,1000,0.0,1,H
37852,20170111,1000,0.0,1,H
22719,20170111,1100,0.0,1,H
37852,20170111,1100,0.0,1,H
22719,20170111,1200,0.0,1,H
37852,20170111,1200,0.0,1,H
22719,20170111,1300,0.0,1,H
37852,20170111,1300,0.0,1,H
22719,20170111,1400,0.0,1,H
37852,20170111,1400,0.0,1,H
22719,20170111,1500,0.0,1,H
37852,20170111,1500,0.0,1,H
22719,20170111,1600,0.0,1,H
37852,20170111,1600,0.0,1,H
22719,20170111,1700,0.0,1,H
37852,20170111,1700,0.0,1,H
22719,20170111,1800,0.0,1,H
